sku,design_family,design_name,status,matched_tags,approved_tags
"AFHFMS0373","AFMS0373","It's Wine O'clock",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Grapes | Party-Time | Summer | Wine-Drinks"
"AFGFMS0374","AFMS0374","Pour Me A Beer",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0374","AFMS0374","Pour Me A Beer",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0375","AFMS0375","Wine Not?",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFHFMS0375","AFMS0375","Wine Not?",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFGFMS0376","AFMS0376","It's Always Happy Hour",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0376","AFMS0376","It's Always Happy Hour",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0445","AFMS0445","Baby Boy Delivery",updated,"Party-Time","Babies | Baby-And-Kids | Balloons | Family-Friends | Party-Time | Patterns | Stripes"
"AFHFMS0445","AFMS0445","Baby Boy Delivery",updated,"Party-Time","Babies | Baby-And-Kids | Balloons | Family-Friends | Party-Time | Patterns | Stripes"
"AFGFMS0617","AFMS0617","Birthday Gifts",updated,"Party-Time","Balloons | Birthday | Party-Time"
"AFHFMS0617","AFMS0617","Birthday Gifts",updated,"Party-Time","Balloons | Birthday | Party-Time"
"AFGFMS0618","AFMS0618","Three Tier Birthday Cake",updated,"Party-Time","Balloons | Birthday | Family-Friends | Food-Wine | Party-Time | Sweets"
"AFHFMS0618","AFMS0618","Three Tier Birthday Cake",updated,"Party-Time","Balloons | Birthday | Family-Friends | Food-Wine | Party-Time | Sweets"
"AFGFMS0619","AFMS0619","It's Your Birthday",updated,"Party-Time","Balloons | Birthday | Candles | Party-Time"
"AFHFMS0619","AFMS0619","It's Your Birthday",updated,"Party-Time","Balloons | Birthday | Candles | Party-Time"
